date,hourly_period,hourly_period_rank,number_of_patients
2020-01-01,0-2,1,6
2020-01-01,2-4,2,1
2020-01-01,6-12,4,1
2020-01-01,8-10,5,3
2020-01-01,10-12,6,10
2020-01-01,12-14,7,10
2020-01-01,14-16,8,13
2020-01-01,16-18,9,8
2020-01-01,18-20,10,11
2020-01-01,20-22,11,9
2020-01-01,22-0,12,6
2020-01-02,0-2,1,1
2020-01-02,2-4,2,1
2020-01-02,6-12,4,1
2020-01-02,8-10,5,4
2020-01-02,10-12,6,15
2020-01-02,12-14,7,27
2020-01-02,14-16,8,7
2020-01-02,16-18,9,11
2020-01-02,18-20,10,10
2020-01-02,20-22,11,7
2020-01-02,22-0,12,7
2020-01-03,0-2,1,4
2020-01-03,4-6,3,1
2020-01-03,6-12,4,1
2020-01-03,8-10,5,6
2020-01-03,10-12,6,9
2020-01-03,12-14,7,8
2020-01-03,14-16,8,10
2020-01-03,16-18,9,15
2020-01-03,18-20,10,19
2020-01-03,20-22,11,14
2020-01-03,22-0,12,10
2020-01-04,0-2,1,4
2020-01-04,2-4,2,1
2020-01-04,4-6,3,1
2020-01-04,6-12,4,3
2020-01-04,10-12,6,14
2020-01-04,12-14,7,11
2020-01-04,14-16,8,17
2020-01-04,16-18,9,11
2020-01-04,18-20,10,15
2020-01-04,20-22,11,4
2020-01-04,22-0,12,7
2020-01-05,0-2,1,9
2020-01-05,2-4,2,4
2020-01-05,4-6,3,1
2020-01-05,8-10,5,4
2020-01-05,10-12,6,14
2020-01-05,12-14,7,19
2020-01-05,14-16,8,10
2020-01-05,16-18,9,10
2020-01-05,18-20,10,13
2020-01-05,20-22,11,7
2020-01-05,22-0,12,3
2020-01-06,0-2,1,3
2020-01-06,6-12,4,1
2020-01-06,8-10,5,5
2020-01-06,10-12,6,7
2020-01-06,12-14,7,10
2020-01-06,14-16,8,26
2020-01-06,16-18,9,8
2020-01-06,18-20,10,7
2020-01-06,20-22,11,5
2020-01-06,22-0,12,2
2020-01-07,0-2,1,1
2020-01-07,4-6,3,2
2020-01-07,6-12,4,1
2020-01-07,8-10,5,7
2020-01-07,10-12,6,10
2020-01-07,12-14,7,13
2020-01-07,14-16,8,18
2020-01-07,16-18,9,7
2020-01-07,18-20,10,7
2020-01-07,20-22,11,2
2020-01-08,0-2,1,5
2020-01-08,4-6,3,4
2020-01-08,6-12,4,2
2020-01-08,8-10,5,8
2020-01-08,10-12,6,10
2020-01-08,12-14,7,9
2020-01-08,14-16,8,10
2020-01-08,16-18,9,9
2020-01-08,18-20,10,7
2020-01-08,20-22,11,6
2020-01-08,22-0,12,6
2020-01-09,0-2,1,1
2020-01-09,2-4,2,2
2020-01-09,4-6,3,2
2020-01-09,6-12,4,6
2020-01-09,8-10,5,1
2020-01-09,10-12,6,9
2020-01-09,12-14,7,12
2020-01-09,14-16,8,9
2020-01-09,16-18,9,11
2020-01-09,18-20,10,10
2020-01-09,20-22,11,2
2020-01-09,22-0,12,6
2020-01-10,0-2,1,1
2020-01-10,2-4,2,3
2020-01-10,6-12,4,2
2020-01-10,8-10,5,7
2020-01-10,10-12,6,10
2020-01-10,12-14,7,6
2020-01-10,14-16,8,16
2020-01-10,16-18,9,20
